name,address,gu,brand,gas_price,dsel_price,SELF,CWSH,LPG,MAINT,CVS,SEL24,lat,lng
(주)한화미 구도일주유소 두꺼비,서울 서대문구 성산로 312,서대문구,S-OIL,1539,1489,Y,Y,N,Y,N,N,37.5660451,126.9249055
(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),서대문구,SK에너지,1540,1480,Y,Y,N,Y,N,N,37.5650007,126.9299305
HD현대오일뱅크㈜직영 연세주유소,서울 서대문구 연희로 184,서대문구,HD현대오일뱅크,1544,1489,Y,Y,N,N,N,N,37.5734611,126.935919
지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,서대문구,GS칼텍스,1549,1489,Y,Y,N,N,N,N,37.5835495,126.9501318
HD현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),서대문구,HD현대오일뱅크,1549,1489,N,Y,N,N,Y,N,37.59317619999999,126.9467313
행촌제2주유소,서울 서대문구 성산로 490 (대신동),서대문구,SK에너지,1569,1498,Y,Y,N,N,Y,Y,37.5642199,126.9443096
중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),서대문구,SK에너지,1575,1495,Y,N,N,N,Y,N,37.5587015,126.9342139
㈜우남에너지 문화사랑주유소,서울 서대문구 세검정로 87 (홍제동),서대문구,S-OIL,1589,1559,Y,Y,N,N,N,N,37.595515,126.9485511
삼미상사(주)서부주유소,서울 서대문구 성산로 255,서대문구,SK에너지,1595,1539,Y,Y,N,Y,Y,N,37.5675895,126.9188473
광호주유소,서울 서대문구 연희로 266 (홍은동),서대문구,SK에너지,1598,1548,N,Y,N,N,N,N,37.5806854,126.9364634
연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),서대문구,SK에너지,1598,1548,N,Y,N,N,Y,N,37.569286,126.9325313
만남의광장주유소,서울 서초구 양재대로12길 73-71,서초구,알뜰(ex),1501,1407,Y,N,Y,N,Y,Y,37.4600837,127.0421686
극동유화(주) 전당앞주유소,서울 서초구 남부순환로 2391 (서초동),서초구,S-OIL,1555,1475,Y,Y,Y,Y,N,N,37.4805543,127.0118209
양재최고주유소,서울 서초구 매헌로 72 (양재동),서초구,S-OIL,1565,1485,N,Y,N,N,N,N,37.4671577,127.034715
에너지 플러스 허브 내곡,서울 서초구 헌릉로 210,서초구,GS칼텍스,1569,1489,Y,Y,N,N,N,Y,37.4553101,127.0629277
헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),서초구,S-OIL,1569,1489,Y,Y,N,N,N,N,37.4573705,127.0602632
에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),서초구,S-OIL,1585,1505,Y,Y,N,Y,N,N,37.4864808,127.0228591
(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),서초구,SK에너지,1585,1485,Y,Y,N,N,N,N,37.4668958,126.9878319
대성석유(주)연일주유소,서울 서초구 남부순환로 2451,서초구,GS칼텍스,1596,1515,N,Y,N,N,Y,N,37.4825868,127.0185128
